,,,,,,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,# of TRUE,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",,,,,,,,,,,,,,,,,,
Last updated: 2023-02-07,,,,, Quick Manual Check (enter values in yellow cells) ,B,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,120,55.00,,,,,25.00,12.00,,,,,,,,,,,,,,,,,,
Data not verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, Equations for TDG hidden columns J to R--> ,,,,,,,,,, <-- Equations for TDG hidden columns J to R ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,From IACO,From TFMSC,,,,,,,,,,,,,
Date Completed,Manufacturer,ICAO Code,Model,Physical Class (Engine),# Engines,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,Only one TRUE?,"Approach Speed, Vref
(Vref = 1.3 * Vso)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Config,Wake Category,ATCT Weight Class,Years Manufactured,Note,,,,,,,,,,,
2018-Jul-3,Acro Sport,ACRO,Acro Sport,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,56,19.58,no winglets,17.50,6.00,tbd,tbd,tbd,"1,350","1,520",S,L,Small Eqpt, - - ,,,,,,,,,,,,
2018-Jun-1,Acro Sport,ACR2,Acro Sport II,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,60,21.67,no winglets,18.85,6.65,tbd,tbd,tbd,"1,520","1,520",S,L,Small Eqpt, - - ,,,,,,,,,,,,
2018-Jul-3,Acro Sport,COUG,Cougar,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,46,20.50,no winglets,18.92,5.50,tbd,tbd,tbd,"1,250","1,250",S,L,Small Eqpt, - - ,,,,,,,,,,,,
2018-Jul-3,Acro Sport,JACE,Junior Ace,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,49,26.50,no winglets,18.00,tbd,tbd,tbd,tbd,"1,225","1,225",S,L,Small Eqpt, - - ,,,,,,,,,,,,
2018-Jul-3,Acro Sport,SACE,Super Ace,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,49,27.29,no winglets,18.50,6.50,tbd,tbd,tbd,"1,030","1,030",S,L,Small Eqpt, - - ,,,,,,,,,,,,
2018-Jul-3,Acro Sport,ACRO,Super Acro Sport,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,56,19.58,no winglets,17.50,tbd,tbd,tbd,tbd,"1,350","1,350",S,L,Small Eqpt, - - ,,,,,,,,,,,,
2018-Jul-3,Adam Aircraft Industries,A500,A-500,Piston,2,B,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,98,44.00,small winglets,37.50,9.58,10.10,10.10,11.71,"7,000","7,050",S,L,tbd, - - ,,,,,,,,,,,,
2018-Jul-3,Adam Aircraft Industries,A700,A-700 AdamJet,Jet,2,B,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,95,44.00,small winglets,40.75,9.58,tbd,tbd,tbd,"7,600","7,650",S,L,tbd, - - ,,,,,,,,,,,,
2018-May-31,Aeritalia,G222,G222,Turboprop,2,B,III,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,109,94.17,no winglets,74.46,32.15,20.44,20.44,12.04,"61,730","61,730",2S,M,tbd, - - ,,,,,,,,,,,,
2018-Jul-3,Aermacchi / Macchi,LA60,AL-60-B2,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,61,38.83,no winglets,28.00,10.67,tbd,tbd,tbd,"3,849","3,849",S,L,tbd, - - ,,,,,,,,,,,,
2018-Jul-3,Aermacchi / Macchi,AM3,AM-3CM Bosbok,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,61,38.50,no winglets,28.67,8.92,tbd,tbd,tbd,"3,748","3,748",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jul-3,Aermacchi / Macchi,L90,M-290 TP Redigo,Turboprop,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,65,39.33,up-angled,28.00,10.50,tbd,tbd,tbd,"4,190","4,190",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jul-3,Aermacchi / Macchi,M346,M-346 Master,Jet,1,C,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,124,31.89,no winglets,37.69,16.10,tbd,tbd,tbd,"20,945","20,945",S,M,tbd,tbd,,,,,,,,,,,,
2018-Jul-3,Aermacchi / Macchi,M308,MB-308,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,61,32.83,no winglets,21.42,7.17,tbd,tbd,tbd,"1,433","1,433",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jul-3,Aermacchi / Macchi,M326,MB-326,Jet,1,B,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,103,34.67,tip tanks,34.94,12.21,tbd,tbd,tbd,"8,300","8,300",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jul-3,Aermacchi / Macchi,M339,MB-339,Jet,1,B,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,104,35.63,tip tanks,36.00,13.10,tbd,tbd,tbd,"13,000","13,000",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jul-3,Aermacchi / Macchi,F260,SIAI-Marchetti SF.260 (now Leonardo SF-260),Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,74,26.98,no winglets,23.00,8.50,tbd,tbd,tbd,"2,866",tbd,S,L,tbd,tbd,,,,,,,,,,,,
2018-Apr-11,Aero Boero,AB11,AB-115 BS,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,47,35.17,no winglets,23.85,6.88,tbd,tbd,tbd,"1,697","1,697",S,L,tbd,tbd,,,,,,,,,,,,
2018-Apr-11,Aero Boero,AB15,AB-150 Ag,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,52,35.17,no winglets,23.83,6.92,tbd,tbd,tbd,"2,207","2,207",S,L,tbd,tbd,,,,,,,,,,,,
2018-Apr-11,Aero Boero,AB18,AB-180 RVR,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,52,35.38,no winglets,23.23,6.73,tbd,tbd,tbd,"1,962","1,962",S,L,tbd,tbd,,,,,,,,,,,,
2018-Apr-11,Aero Boero,AB95,AB-95,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,34,34.19,no winglets,22.63,7.21,tbd,tbd,tbd,"1,543","1,543",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jul-3,Aero Commander Aircraft,JCOM,1121 Jet Commander,Jet,2,C,I,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,129,44.79,no winglets,55.58,15.79,tbd,25.00,12.00,"16,800","17,100",S,M,tbd,tbd,n/a,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC50,500 Commander,Piston,2,A,II,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,51.71,no winglets,36.81,14.50,13.98,13.98,12.92,"6,000","6,000",S,L,tbd,tbd,same dimensions as 560-E,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC50,500-A Commander,Piston,2,A,II,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,49.04,no winglets,36.81,14.50,13.98,13.98,12.92,"6,250","6,250",S,L,tbd,tbd,same dimensions as 560-E,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC50,500-B Commander,Piston,2,A,II,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,49.04,no winglets,36.81,14.50,13.98,13.98,12.92,"6,750","6,750",S,L,tbd,tbd,same dimensions as 560-E,,,,,,,,,,,
