Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database time zone,Type,airport_id
Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.0816898345900015,145.391998291,5282,10.0,U,Pacific/Port_Moresby,airport,0
Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,10.0,U,Pacific/Port_Moresby,airport,1
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,10.0,U,Pacific/Port_Moresby,airport,2
Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10.0,U,Pacific/Port_Moresby,airport,3
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.44338035583496,147.22000122070312,146,10.0,U,Pacific/Port_Moresby,airport,4
Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.5838301181800003,143.66900634799998,19,10.0,U,Pacific/Port_Moresby,airport,5
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,-3.0,E,America/Godthab,airport,6
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.678100585900005,283,-3.0,E,America/Godthab,airport,7
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3.0,E,America/Godthab,airport,8
Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.70320129390001,251,-4.0,E,America/Thule,airport,9
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210939,-18.07270050048828,6,0.0,N,Atlantic/Reykjavik,airport,10
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.28330230712889,-14.401399612426758,76,0.0,N,Atlantic/Reykjavik,airport,11
Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0.0,N,Atlantic/Reykjavik,airport,12
Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,0.0,N,Atlantic/Reykjavik,airport,13
Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.13529968261719,8,0.0,N,Atlantic/Reykjavik,airport,14
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357056,171,0.0,N,Atlantic/Reykjavik,airport,15
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0.0,N,Atlantic/Reykjavik,airport,16
Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,48,0.0,N,Atlantic/Reykjavik,airport,17
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,0.0,N,Atlantic/Reykjavik,airport,18
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.27890014648437,326,0.0,N,Atlantic/Reykjavik,airport,19
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,-84.5093994140625,630,-5.0,A,America/Toronto,airport,20
Winnipeg / St. Andrews Airport,Winnipeg,Canada,\N,CYAV,50.0564002991,-97.0325012207,760,-6.0,A,America/Winnipeg,airport,21
Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,CYAW,44.639702,-63.499401,144,-4.0,A,America/Halifax,airport,22
St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.391899108900006,-56.083099365200006,108,-3.5,A,America/St_Johns,airport,23
