fareBasisCode,isBasicEconomy,isRefundable,isNonStop,seatsRemaining,booking_id,search_year,search_month,search_day
VAA0AKEN,False,False,False,3,0,2022,4,16
HAA0AFEN,False,False,False,7,1,2022,4,16
VAA0OHEN,False,False,True,3,2,2022,4,16
BA0OA0MQ,False,False,False,4,3,2022,4,16
KA0NX0MQ,False,False,True,6,4,2022,4,16
HA0NA0MQ,False,False,False,9,5,2022,4,16
MA0NA0MC,False,False,False,9,6,2022,4,16
QA0QA0MQ,False,False,False,4,7,2022,4,16
V0AHZNN1,False,False,True,7,8,2022,4,16
V3AHZNN1,False,False,False,7,9,2022,4,16
V3AHZNN1,False,False,False,7,10,2022,4,16
N3AZZNN3,False,False,False,7,11,2022,4,16
N3AZZNN3,False,False,False,7,12,2022,4,16
VAA3AFEN,False,False,False,2,13,2022,4,16
G3AHZNN1,False,False,False,7,14,2022,4,16
G3AHZNN1,False,False,False,7,15,2022,4,16
SAA3PHEN,False,False,False,9,16,2022,4,16
M0AHZNN1,False,False,False,7,17,2022,4,16
SAA3AHBS,True,False,True,9,18,2022,4,16
WAA0OKEN,False,False,False,7,19,2022,4,16
BA3OA0MC,False,False,False,9,20,2022,4,16
BA3OA0MC,False,False,False,9,21,2022,4,16
V3AGZNN1,False,False,False,6,22,2022,4,16
V3AGZNN1,False,False,False,6,23,2022,4,16
S3AJZNN3,False,False,False,1,24,2022,4,16
S3AJZNN3,False,False,False,1,25,2022,4,16
SAA3PQEN,False,False,False,3,26,2022,4,16
HA0NA0MC,False,False,False,3,27,2022,4,16
HA3NA0MC,False,False,False,3,28,2022,4,16
UAA7AFEN,False,False,False,1,29,2022,4,16
N7AUZON3,False,False,True,2,30,2022,4,16
QA3OX0MG,False,False,True,9,31,2022,4,16
H0AWZNN1,False,False,False,5,32,2022,4,16
H0AWZNN1,False,False,False,5,33,2022,4,16
K0AZZNN1,False,False,False,4,34,2022,4,16
K0AZZNN1,False,False,False,4,35,2022,4,16
MAA0OHEN,False,False,False,9,36,2022,4,16
MAA0OHEN,False,False,False,9,37,2022,4,16
M3AHZNN1,False,False,True,7,38,2022,4,16
LA7OA0MG,False,False,False,5,39,2022,4,16
HAA0OFEN,False,False,False,5,40,2022,4,16
S7AGZNN1,False,False,False,7,41,2022,4,16
S7AGZNN1,False,False,False,7,42,2022,4,16
KA0NX0MQ,False,False,False,9,43,2022,4,16
KA0NX0MQ,False,False,False,9,44,2022,4,16
S8AGZNN1,False,False,False,7,45,2022,4,16
G8AIZNN1,False,False,True,7,46,2022,4,16
TAA7OHEN,False,False,False,2,47,2022,4,16
TAA7OHEN,False,False,False,2,48,2022,4,16
H0AHZNN1,False,False,True,7,49,2022,4,17
KA0NA0MC,False,False,False,8,50,2022,4,17
KA0NA0MC,False,False,False,8,51,2022,4,17
HAA0ADEN,False,False,False,3,52,2022,4,17
VAA3AFEN,False,False,False,8,53,2022,4,17
HA0NA0MC,False,False,False,7,54,2022,4,17
KA3TA0MC,False,False,False,9,55,2022,4,17
L0AWZNN1,False,False,True,7,56,2022,4,17
QA3NA0MQ,False,False,True,9,57,2022,4,17
QAA0OKEN,False,False,False,1,58,2022,4,17
QAA0OKEN,False,False,False,1,59,2022,4,17
G3AGZNN1,False,False,False,7,60,2022,4,17
G3AGZNN1,False,False,False,7,61,2022,4,17
K0AJZNN1,False,False,False,2,62,2022,4,17
K0AJZNN1,False,False,False,2,63,2022,4,17
B0AJZNN1,False,False,True,7,64,2022,4,17
HA0NA0MC,False,False,False,2,65,2022,4,17
HA0NA0MC,False,False,False,2,66,2022,4,17
LH3ABEY5,False,False,True,4,67,2022,4,17
SAA3PHEN,False,False,False,7,68,2022,4,17
SAA3PHEN,False,False,False,7,69,2022,4,17
V3AGZNN1,False,False,False,7,70,2022,4,17
V3AGZNN1,False,False,False,7,71,2022,4,17
SAA3AHES,False,False,False,4,72,2022,4,17
QAA3AKEN,False,False,False,1,73,2022,4,17
G7AIZNN1,False,False,False,3,74,2022,4,17
K0AIZNN1,False,False,True,7,75,2022,4,17
MAA0AHES,False,False,False,4,76,2022,4,17
TA3OA0BG,True,False,False,9,77,2022,4,17
L7AHZNN1,False,False,True,7,78,2022,4,17
KA3TA0MC,False,False,False,9,79,2022,4,17
N7AHZNN3,False,False,False,7,80,2022,4,17
N7AHZNN3,False,False,False,7,81,2022,4,17
M7AHZNN3,False,False,True,7,82,2022,4,17
Q3BJZSN3,False,False,False,7,83,2022,4,17
Q3BJZSN3,False,False,False,7,84,2022,4,17
H0AJZNN1,False,False,False,7,85,2022,4,17
UA3NA0BC,True,False,False,9,86,2022,4,17
UA3NA0BC,True,False,False,9,87,2022,4,17
BA7OA0MC,False,False,False,9,88,2022,4,17
BA7OA0MC,False,False,False,9,89,2022,4,17
QAA0OHEN,False,False,False,7,90,2022,4,17
VAA3AFEN,False,False,False,2,91,2022,4,17
L7AHZNN1,False,False,False,7,92,2022,4,17
L7AHZNN1,False,False,False,7,93,2022,4,17
QAA0OHEN,False,False,False,3,94,2022,4,17
M7AUZNN1,False,False,False,2,95,2022,4,17
M7AUZNN1,False,False,False,2,96,2022,4,17
KA0OA0MC,False,False,False,9,97,2022,4,17
KA0OA0MC,False,False,False,9,98,2022,4,17
UL7QBEL1,False,False,True,7,99,2022,4,17
S7AZZNB3,True,False,False,7,100,2022,4,17
S7AZZNB3,True,False,False,7,101,2022,4,17
L0AHZNN1,False,False,False,7,102,2022,4,17
L0AHZNN1,False,False,False,7,103,2022,4,17
MH7AUEL1,False,False,False,7,104,2022,4,17
V7AWZNN1,False,False,False,7,105,2022,4,17
V7AWZNN1,False,False,False,7,106,2022,4,17
BAUOA0MQ,False,False,False,2,107,2022,4,17
V0AWZNN1,False,False,True,7,108,2022,4,17
XAUTX5BC,True,False,False,9,109,2022,4,17
QUAIXSN3,False,False,True,7,110,2022,4,17
SAG4AKES,False,False,True,1,111,2022,4,17
Q3AHZNN3,False,False,True,7,112,2022,4,17
QAA0AKEN,False,False,False,3,113,2022,4,17
GH4OZVMN,False,False,False,7,114,2022,4,17
V3AIZNN1,False,False,False,7,115,2022,4,17
V3AIZNN1,False,False,False,7,116,2022,4,17
L7AZZNN1,False,False,False,7,117,2022,4,17
L7AZZNN1,False,False,False,7,118,2022,4,17
KAUTA5MC,False,False,False,7,119,2022,4,17
KAUTA5MC,False,False,False,7,120,2022,4,17
N7AHZNN3,False,False,False,7,121,2022,4,17
N7AHZNN3,False,False,False,7,122,2022,4,17
LA7OA0MG,False,False,False,9,123,2022,4,17
MUAIXSN1,False,False,False,7,124,2022,4,17
MUAIXSN1,False,False,False,7,125,2022,4,17
QUAIXSN3,False,False,False,3,126,2022,4,17
LH4OASMN,False,False,False,6,127,2022,4,17
SUAWZNN1,False,False,True,7,128,2022,4,17
WAA1AFEN,False,False,False,6,129,2022,4,17
MUAIZSN1,False,False,False,7,130,2022,4,17
SAA0OFEN,False,False,False,8,131,2022,4,17
VAA0OKEN,False,False,False,5,132,2022,4,17
QUAIXSB3,True,False,False,7,133,2022,4,17
NUAHZNN3,False,False,False,7,134,2022,4,17
NUAHZNN3,False,False,False,7,135,2022,4,17
G7AJZNN1,False,False,False,7,136,2022,4,17
G7AJZNN1,False,False,False,7,137,2022,4,17
LH4OASM,False,False,True,7,138,2022,4,17
H0AKZRN1,False,False,False,5,139,2022,4,17
H0AKZRN1,False,False,False,5,140,2022,4,17
VAA3AKEN,False,False,False,4,141,2022,4,17
VAA3AKEN,False,False,False,4,142,2022,4,17
WAA7OWEN,False,False,False,7,143,2022,4,17
WAA7OWEN,False,False,False,7,144,2022,4,17
SAG4AKES,False,False,False,3,145,2022,4,17
SAG4AKES,False,False,False,3,146,2022,4,17
WAA7AFEN,False,False,False,4,147,2022,4,17
GVAGZNN1,False,False,False,7,148,2022,4,17
GVAGZNN1,False,False,False,7,149,2022,4,17
TAG4AKBS,True,False,False,9,150,2022,4,17
XAVNA0BC,True,False,False,9,151,2022,4,17
XAVNA0BC,True,False,False,9,152,2022,4,17
SUAIZSN3,False,False,True,7,153,2022,4,17
UAUSA5BC,True,False,True,9,154,2022,4,17
V7AWZNN1,False,False,False,7,155,2022,4,17
SVAWKNN3,False,False,False,4,156,2022,4,17
K0AKZNN1,False,False,False,3,157,2022,4,17
K0AKZNN1,False,False,False,3,158,2022,4,17
V7AJZNN3,False,False,True,7,159,2022,4,17
SAA4AKES,False,False,False,9,160,2022,4,17
HA3OA0MQ,False,False,True,9,161,2022,4,17
LA7NA0BC,True,False,False,9,162,2022,4,17
V7AHZNN1,False,False,False,7,163,2022,4,17
V7AHZNN1,False,False,False,7,164,2022,4,17
BA3OA0MQ,False,False,False,9,165,2022,4,17
BA3OA0MQ,False,False,False,9,166,2022,4,17
VAA0OKEN,False,False,False,6,167,2022,4,17
VAA0OKEN,False,False,False,6,168,2022,4,17
QA0NA0MC,False,False,False,9,169,2022,4,17
TA7NX0BQ,True,False,False,9,170,2022,4,17
KA7QA0MQ,False,False,False,5,171,2022,4,17
LA3NA0BQ,True,False,True,9,172,2022,4,17
UAA0OKEN,False,False,False,7,173,2022,4,17
H3AJZNN1,False,False,False,7,174,2022,4,17
H3AJZNN1,False,False,False,7,175,2022,4,17
MH7OASMN,False,False,False,1,176,2022,4,17
SUAIXSN1,False,False,False,4,177,2022,4,17
MH3ABEY5,False,False,True,7,178,2022,4,17
V0AIZNN1,False,False,True,7,179,2022,4,17
UA3NA0BC,True,False,False,9,180,2022,4,17
SAA7AKEN,False,False,False,1,181,2022,4,17
NUAIISN3,False,False,False,7,182,2022,4,17
NUAIISN3,False,False,False,7,183,2022,4,17
LAVNA0MC,False,False,False,9,184,2022,4,17
LAVNA0MC,False,False,False,9,185,2022,4,17
HAA4AFEN,False,False,False,3,186,2022,4,17
VUAIZNN1,False,False,False,1,187,2022,4,17
VUAIZNN1,False,False,False,1,188,2022,4,17
RVAHZNN1,False,False,True,7,189,2022,4,17
B3AJZNN1,False,False,True,7,190,2022,4,17
QAA0OHEN,False,False,True,9,191,2022,4,17
UAUQA0BQ,True,False,True,9,192,2022,4,17
MAA0OKEN,False,False,True,9,193,2022,4,17
SAA4JFEN,False,False,False,3,194,2022,4,17
WAA3PHEN,False,False,True,7,195,2022,4,17
HAG4AKES,False,False,False,9,196,2022,4,17
UAUQA0BQ,True,False,True,9,197,2022,4,17
V3AZZNN1,False,False,True,7,198,2022,4,17
EAA0OKEN,False,False,False,3,199,2022,4,17
EAA0OKEN,False,False,False,3,200,2022,4,17
HAA0OHEN,False,False,False,9,201,2022,4,17
HAA0OHEN,False,False,False,9,202,2022,4,17
KAUOA0MQ,False,False,False,9,203,2022,4,17
MUAIZSN1,False,False,False,4,204,2022,4,17
MUAIZSN1,False,False,False,4,205,2022,4,17
QAA0OKEN,False,False,False,1,206,2022,4,17
QAA0OKEN,False,False,False,1,207,2022,4,17
L0AHZNN1,False,False,False,1,208,2022,4,17
L0AHZNN1,False,False,False,1,209,2022,4,17
SAG4AKES,False,False,False,2,210,2022,4,17
SAG4AKES,False,False,False,2,211,2022,4,17
SVAIZNN3,False,False,False,7,212,2022,4,17
QUAIXSN3,False,False,False,3,213,2022,4,17
QUAIXSN3,False,False,False,3,214,2022,4,17
H7AKZRN1,False,False,False,7,215,2022,4,17
H7AKZRN1,False,False,False,7,216,2022,4,17
SAA7AKEN,False,False,False,9,217,2022,4,17
SAA7AKEN,False,False,False,9,218,2022,4,17
UAG4AKES,False,False,False,6,219,2022,4,17
UAG4AKES,False,False,False,6,220,2022,4,17
HAVOA0MC,False,False,False,9,221,2022,4,17
HAVOA0MC,False,False,False,9,222,2022,4,17
KA0NX0MQ,False,False,False,9,223,2022,4,17
KA0NX0MQ,False,False,False,9,224,2022,4,17
LUAIXSN1,False,False,False,7,225,2022,4,17
LUAIXSN1,False,False,False,7,226,2022,4,17
XAVNA0MC,False,False,False,8,227,2022,4,17
HAUOA0MQ,False,False,False,9,228,2022,4,17
HAUOA0MQ,False,False,False,9,229,2022,4,17
BH3AUEL1,False,False,True,7,230,2022,4,17
UAUOA0ML,False,False,False,9,231,2022,4,17
UAUOA0ML,False,False,False,9,232,2022,4,17
LVAIZNN1,False,False,False,2,233,2022,4,17
LVAIZNN1,False,False,False,2,234,2022,4,17
UAA0OKEN,False,False,False,9,235,2022,4,17
UAA0OKEN,False,False,False,9,236,2022,4,17
M3AIZNN1,False,False,False,7,237,2022,4,17
M3AIZNN1,False,False,False,7,238,2022,4,17
V7AZZNN1,False,False,False,3,239,2022,4,17
VAA0OHEN,False,False,False,9,240,2022,4,17
T07PXS5,False,False,True,4,241,2022,4,17
TRA2AFER,False,False,False,9,242,2022,4,17
TRA2AFER,False,False,False,9,243,2022,4,17
MUAKZNN1,False,False,False,7,244,2022,4,17
MUAKZNN1,False,False,False,7,245,2022,4,17
BAVOA0MQ,False,False,False,9,246,2022,4,17
VAA0OQEN,False,False,False,6,247,2022,4,17
HAA0OKEN,False,False,True,9,248,2022,4,17
LAVUA0MQ,False,False,False,9,249,2022,4,17
LAVUA0MQ,False,False,False,9,250,2022,4,17
B0AJZNN1,False,False,True,7,251,2022,4,17
VH4OAJMN,False,False,False,7,252,2022,4,17
VH4OAJMN,False,False,False,7,253,2022,4,17
MUAZZNN1,False,False,False,7,254,2022,4,17
MUAZZNN1,False,False,False,7,255,2022,4,17
V7AJZNN3,False,False,False,5,256,2022,4,17
V7AJZNN3,False,False,False,5,257,2022,4,17
HAA0OFEN,False,False,True,5,258,2022,4,17
K0AIZNN1,False,False,False,7,259,2022,4,17
SAA0PFEN,False,False,True,6,260,2022,4,17
QAA0OQEN,False,False,True,9,261,2022,4,17
U14GXP5,False,False,False,4,262,2022,4,17
G0AJZNN3,False,False,True,7,263,2022,4,17
QAA3AKEN,False,False,False,3,264,2022,4,17
QAA3AKEN,False,False,False,3,265,2022,4,17
VAA3AKEN,False,False,True,9,266,2022,4,17
QH4OAVBN,True,False,True,7,267,2022,4,17
HAUOA0MC,False,False,False,9,268,2022,4,17
QAA7OFEN,False,False,False,9,269,2022,4,17
QA3NA0MC,False,False,False,9,270,2022,4,17
V0AZZNN1,False,False,False,7,271,2022,4,17
V0AZZNN1,False,False,False,7,272,2022,4,17
GUAIZNN1,False,False,False,7,273,2022,4,17
UAA0OKEN,False,False,False,9,274,2022,4,17
UAA0OKEN,False,False,False,9,275,2022,4,17
WH3AUEL1,False,False,False,7,276,2022,4,17
W4DACAY,False,False,False,9,277,2022,4,17
W4DACAY,False,False,False,9,278,2022,4,17
L3AJZNN1,False,False,False,7,279,2022,4,17
L3AJZNN1,False,False,False,7,280,2022,4,17
HAA0OKEN,False,False,True,9,281,2022,4,17
WAA2AQES,False,False,False,9,282,2022,4,17
WAA2AQES,False,False,False,9,283,2022,4,17
QAVNA0MC,False,False,False,9,284,2022,4,17
VUAZZNN1,False,False,False,2,285,2022,4,17
NVAHZNN1,False,False,False,7,286,2022,4,17
NVAHZNN1,False,False,False,7,287,2022,4,17
