elapsed_days,departure_time_unix,arrival_time_unix,duration_in_seconds,total_distance,duration_hours,duration_minutes,departure_year,departure_month,departure_day,departure_hour,departure_minute,departure_second,departure_timezone,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute,arrival_second,arrival_timezone,flight_id
0,1650187800,1650194280,6480,541,2,6,2022,4,17,5,30,0,4.0,2022,4,17,7,18,0,4.0,0
0,1650201300,1650210180,8880,876,3,12,2022,4,17,7,15,0,6.0,2022,4,17,10,43,0,5.0,1
0,1650234540,1650246360,11820,1104,3,17,2022,4,17,18,29,0,4.0,2022,4,17,21,46,0,4.0,2
1,1650258000,1650273420,15420,1985,5,31,2022,4,17,22,0,0,7.0,2022,4,18,5,17,0,4.0,3
0,1650301140,1650308640,7500,762,2,5,2022,4,18,12,59,0,4.0,2022,4,18,15,4,0,4.0,4
0,1650329640,1650337260,7620,762,2,57,2022,4,18,20,54,0,4.0,2022,4,18,23,1,0,4.0,5
0,1650298740,1650312900,14160,1534,4,42,2022,4,18,11,19,0,5.0,2022,4,18,13,15,0,7.0,6
0,1650385740,1650389640,3900,215,1,48,2022,4,19,12,29,0,4.0,2022,4,19,12,34,0,5.0,7
0,1650390060,1650400980,10920,995,3,2,2022,4,19,13,41,0,4.0,2022,4,19,15,43,0,5.0,8
0,1650378600,1650388320,9720,720,3,59,2022,4,19,10,30,0,4.0,2022,4,19,12,12,0,5.0,9
0,1650400800,1650417240,16440,1847,6,44,2022,4,19,15,40,0,5.0,2022,4,19,18,14,0,7.0,10
0,1650478800,1650487860,9060,725,3,52,2022,4,20,14,20,0,4.0,2022,4,20,15,51,0,5.0,11
0,1650499380,1650511680,12300,1380,5,15,2022,4,20,19,3,0,5.0,2022,4,20,23,28,0,4.0,12
0,1650504120,1650520500,16380,1745,5,54,2022,4,20,20,22,0,5.0,2022,4,20,22,55,0,7.0,13
0,1650468000,1650476400,8400,592,3,19,2022,4,20,11,20,0,4.0,2022,4,20,12,40,0,5.0,14
0,1650453000,1650460980,7980,545,3,10,2022,4,20,7,10,0,4.0,2022,4,20,9,23,0,4.0,15
0,1650471300,1650477960,6660,594,2,42,2022,4,20,11,15,0,5.0,2022,4,20,14,6,0,4.0,16
0,1650590400,1650603180,12780,1115,4,26,2022,4,21,21,20,0,4.0,2022,4,21,23,53,0,5.0,17
0,1650585600,1650594840,9240,762,2,34,2022,4,21,20,0,0,4.0,2022,4,21,22,34,0,4.0,18
0,1650539700,1650552240,12540,1192,4,14,2022,4,21,7,15,0,4.0,2022,4,21,9,44,0,5.0,19
0,1650582900,1650602040,19140,2135,6,19,2022,4,21,19,15,0,4.0,2022,4,21,21,34,0,7.0,20
0,1650570120,1650577800,7680,667,2,32,2022,4,21,15,42,0,4.0,2022,4,21,17,50,0,4.0,21
0,1650621900,1650630360,8460,799,3,41,2022,4,22,5,5,0,5.0,2022,4,22,7,26,0,5.0,22
0,1650639300,1650646500,7200,672,3,8,2022,4,22,9,55,0,5.0,2022,4,22,12,55,0,4.0,23
0,1650643200,1650650640,7440,545,2,22,2022,4,22,12,0,0,4.0,2022,4,22,14,4,0,4.0,24
0,1650652800,1650660060,7260,652,2,18,2022,4,22,14,40,0,4.0,2022,4,22,16,41,0,4.0,25
0,1650671880,1650693720,21840,2426,9,8,2022,4,22,19,58,0,4.0,2022,4,22,23,2,0,7.0,26
0,1650656520,1650664200,7680,667,4,4,2022,4,22,15,42,0,4.0,2022,4,22,17,50,0,4.0,27
0,1650708300,1650728100,19800,2100,6,54,2022,4,23,6,5,0,4.0,2022,4,23,9,35,0,6.0,28
0,1650734100,1650742080,7980,827,2,28,2022,4,23,11,15,0,6.0,2022,4,23,12,28,0,7.0,29
0,1650763200,1650772140,8940,799,2,29,2022,4,23,20,20,0,5.0,2022,4,23,22,49,0,5.0,30
0,1650799200,1650806400,7200,600,2,0,2022,4,24,7,20,0,4.0,2022,4,24,8,20,0,5.0,31
0,1650794700,1650803160,8460,799,3,0,2022,4,24,5,5,0,5.0,2022,4,24,7,26,0,5.0,32
0,1650807600,1650814920,7320,672,2,36,2022,4,24,8,40,0,5.0,2022,4,24,11,42,0,4.0,33
1,1650850500,1650860100,9600,995,3,3,2022,4,24,20,35,0,5.0,2022,4,25,0,15,0,4.0,34
1,1650837060,1650847500,10440,1215,3,20,2022,4,24,14,51,0,7.0,2022,4,24,19,45,0,5.0,35
0,1650852960,1650857760,4800,185,2,32,2022,4,24,22,16,0,4.0,2022,4,24,23,36,0,4.0,36
0,1650832920,1650841140,8220,720,4,21,2022,4,24,15,42,0,5.0,2022,4,24,18,59,0,4.0,37
0,1650885480,1650892980,7500,667,2,5,2022,4,25,7,18,0,4.0,2022,4,25,9,23,0,4.0,38
0,1650897900,1650903660,5760,380,2,6,2022,4,25,8,45,0,6.0,2022,4,25,10,21,0,6.0,39
0,1650890220,1650896160,5940,406,5,25,2022,4,25,8,37,0,4.0,2022,4,25,10,16,0,4.0,40
0,1650986400,1650994800,8400,592,3,19,2022,4,26,11,20,0,4.0,2022,4,26,12,40,0,5.0,41
0,1651005000,1651020720,15720,1745,6,12,2022,4,26,15,30,0,5.0,2022,4,26,17,52,0,7.0,42
0,1650981600,1650988020,6420,485,2,36,2022,4,26,10,0,0,4.0,2022,4,26,11,47,0,4.0,43
0,1650995100,1651003980,8880,762,3,36,2022,4,26,13,45,0,4.0,2022,4,26,16,13,0,4.0,44
0,1651007040,1651012140,5100,257,2,17,2022,4,26,17,4,0,4.0,2022,4,26,18,29,0,4.0,45
0,1650986640,1650993600,6960,592,1,56,2022,4,26,10,24,0,5.0,2022,4,26,13,20,0,4.0,46
0,1650976200,1650991380,15180,1847,4,55,2022,4,26,5,30,0,7.0,2022,4,26,11,43,0,5.0,47
0,1650995280,1651003200,7920,720,2,34,2022,4,26,12,48,0,5.0,2022,4,26,16,0,0,4.0,48
0,1650292260,1650298440,6180,545,1,43,2022,4,18,10,31,0,4.0,2022,4,18,12,14,0,4.0,49
1,1650346500,1650360840,14340,1919,5,3,2022,4,18,22,35,0,7.0,2022,4,19,5,34,0,4.0,50
1,1650366900,1650375120,8220,762,2,53,2022,4,19,7,15,0,4.0,2022,4,19,9,32,0,4.0,51
